name,color
Institut für Elektrische Energietechnik FHNW, #c7df00 
Hochschule für Technik FHNW, #c7df00 
Weitere Hochschulpartner FHNW, #c7df00 
Pfiffner, #00c247
Moser Glaser, #00c247
Alpha-ET, #00c247
Haefely, #00c247
Haveco, #00c247
Pfiffner Systems, #00c247
Brugg Cables, #00c247
Gut eingespielte Zusammenarbeit,  #51ff90 
Behebung Fachkräftemangel,  #51ff90 
Sichtbarkeit,  #51ff90 
Veranstaltungen, #c5f93a
Forschungsprojekte,  #c5f93a
Praxisintegriertes Studium,  #c5f93a
Studierendenprojekte,  #c5f93a
Elektrische Energiespeicherung,  #4ae303
Nachhaltige Energieversorgung,  #4ae303
Elektrische Netze der Zukunft,  #4ae303
